Datum;Frist oder Termin;Verantwortlich;Aktion;Unterlage;Status
03.07.2026;Rückmeldung Schule zur Abholung;Kanzlei und Mutter;vorläufige Abholregel schriftlich mitteilen;Schulmail und Sorgeunterlagen;offen
04.07.2026;Polizeiliche Vorgangsnummer nachreichen;Polizeiinspektion Nord;Einsatzvermerk und Wegweisungsdauer bestätigen;Anforderung vom 02.07.2026;zugesagt
06.07.2026;Ärztlichen Befund vollständig vorlegen;Mandantin;Originalbefund und Schweigepflichtentbindung übermitteln;Befund vom 01.07.2026;teilweise vorhanden
07.07.2026;Eilantrag finalisieren;Kanzlei;Anträge, Glaubhaftmachung und Anlagenabfolge prüfen;Einsatzvermerk, Befund, Nachrichten;in Arbeit
08.07.2026;Ende der polizeilichen Wegweisung;Kanzlei;gerichtliche Zwischenregelung vorher beantragen;Zugangsnachweis Eilantrag;kritisch
09.07.2026;Jugendamtliches Sicherheitsgespräch;Jugendamt, Eltern;begleitete Übergabe und Kontaktkanal erörtern;Hausbesuchsvermerk;terminiert
10.07.2026;Sommerferienbeginn;Eltern und Gericht;Ferienumgang und Reiseunterlagen vorläufig regeln;Ferienplan;offen
13.07.2026;Gerichtliche Anhörung vorsorglich freihalten;Kanzlei und Mandantin;Zeugen, Dolmetscherbedarf und Kinderbetreuung klären;Ladung noch ausstehend;reserviert
15.07.2026;Schulportal und Notfallkontakte;Eltern und Schule;Berechtigungen bis zur gerichtlichen Klärung dokumentieren;Schulbestätigung;offen
17.07.2026;Begleiteter Umgang, erster möglicher Termin;Jugendhilfeträger;Ort, Übergabe und Rückmeldung abstimmen;Kosten- und Kapazitätsauskunft;angefragt
